FIRST_NAME,LAST_NAME,EMAIL_ID,EU_CITIZEN,NON_EU_CITIZEN
Francisco,Moses,timothy60@gmail.com,EU Citizen,
Kimberly,Jennings,mitchellstephanie@yahoo.com,,Non-EU Citizen
Elizabeth,Garcia,adam80@hotmail.com,,Non-EU Citizen
Kelly,Santiago,matthewsmith@hotmail.com,EU Citizen,
Amanda,Smith,martinryan@gmail.com,EU Citizen,
Taylor,Wood,wrightcaitlin@yahoo.com,EU Citizen,
Amanda,Moore,amanda61@campbell.com,,Non-EU Citizen
Holly,Williams,rking@george.com,EU Citizen,
Jeff,Kim,woodvalerie@yahoo.com,,Non-EU Citizen
Shawn,Taylor,johnmcdonald@yahoo.com,,Non-EU Citizen
Amanda,Richardson,ntate@hotmail.com,,Non-EU Citizen
James,Thomas,sarah26@yahoo.com,EU Citizen,
Michelle,Moore,owilliams@yahoo.com,EU Citizen,
Robert,James,justinhernandez@yahoo.com,EU Citizen,
Margaret,Baird,uwelch@hotmail.com,,Non-EU Citizen
Kathryn,Reid,codynelson@richardson-white.com,,Non-EU Citizen
Julia,Alvarez,mcampbell@gmail.com,,Non-EU Citizen
Martin,Austin,melissamurphy@taylor.com,,Non-EU Citizen
David,Cross,nicholas12@thompson.info,,Non-EU Citizen
Tiffany,Case,wisejessica@brown.biz,,Non-EU Citizen
Robert,Gonzalez,gonzalesdorothy@gmail.com,EU Citizen,
William,Garcia,tony95@hotmail.com,EU Citizen,
Anthony,Moore,ukaiser@watkins.org,EU Citizen,
Jennifer,Bell,irush@villanueva.net,,Non-EU Citizen
Anthony,Jackson,victor73@gmail.com,EU Citizen,
Robert,Bell,anthonyrice@gmail.com,,Non-EU Citizen
Jennifer,Lowe,zdyer@nelson-castro.com,EU Citizen,
William,Harris,blong@hotmail.com,EU Citizen,
Darlene,Collins,garmstrong@yahoo.com,EU Citizen,
Jasmine,Perez,howardryan@holland.com,,Non-EU Citizen
Keith,Porter,pauldiana@sanchez-taylor.org,,Non-EU Citizen
Matthew,Roberson,craig54@norris.com,,Non-EU Citizen
Susan,Cochran,bradley50@gomez-sanchez.info,EU Citizen,
Taylor,Yates,kellison@yahoo.com,EU Citizen,
Michael,Riley,laurie81@hotmail.com,,Non-EU Citizen
Alicia,Reeves,erinrobinson@wilson.org,,Non-EU Citizen
Heather,Wright,wrobbins@kelley-delgado.com,EU Citizen,
Zachary,Wolf,swatts@barker.com,,Non-EU Citizen
Melissa,Reyes,pklein@hotmail.com,,Non-EU Citizen
Robert,Mitchell,vflowers@yahoo.com,,Non-EU Citizen
Brian,Howard,sparksveronica@kramer.com,,Non-EU Citizen
Angela,Johnson,shieldsgregory@yahoo.com,EU Citizen,
Kristina,Coleman,murphyjoshua@smith.com,,Non-EU Citizen
Karen,Valentine,robert95@gmail.com,,Non-EU Citizen
Craig,Gill,dcole@smith.biz,,Non-EU Citizen
Suzanne,Davis,sbuchanan@kirk-garcia.com,EU Citizen,
Cindy,Mclaughlin,johnsonanthony@rowe.net,,Non-EU Citizen
Gregory,Jacobs,stevensjoshua@gmail.com,EU Citizen,
Jonathan,King,michaeljohn@tanner.com,EU Citizen,
Tanya,Garcia,rfox@love.com,,Non-EU Citizen
Margaret,Brown,emily19@hays-mitchell.com,EU Citizen,
Laura,Campbell,adam00@bowman.com,EU Citizen,
Katherine,Murphy,bmccoy@holt.org,,Non-EU Citizen
Michael,Tucker,randallmorris@hughes.com,,Non-EU Citizen
Denise,Ray,markclay@yahoo.com,,Non-EU Citizen
Amy,Henry,qbaker@martinez.com,EU Citizen,
Margaret,Smith,danhunter@pacheco.com,EU Citizen,
Caitlin,Gaines,mark29@white.com,EU Citizen,
Jennifer,Liu,brownchristopher@gmail.com,EU Citizen,
Kim,Cummings,sierramalone@gmail.com,EU Citizen,
Chloe,Wilkerson,andrewlopez@thomas.com,,Non-EU Citizen
Katie,Zimmerman,ypope@wong.biz,,Non-EU Citizen
Ronnie,Ortiz,joshua39@gmail.com,,Non-EU Citizen
Andrew,Paul,pettyerin@bentley.com,EU Citizen,
April,Thomas,rachelhiggins@dennis.info,EU Citizen,
Crystal,Bowen,wigginsderek@gmail.com,EU Citizen,
Christopher,James,nicole63@rollins-mills.info,EU Citizen,
Gail,Cruz,christopher61@gmail.com,EU Citizen,
Jill,Ingram,ian95@hotmail.com,EU Citizen,
Stephen,Hamilton,rebekah92@moon.com,,Non-EU Citizen
Rachel,Perry,haley14@peters-moore.com,EU Citizen,
Scott,Johnson,trussell@small.com,,Non-EU Citizen
